Code;Denomination;Class;SoftAtk;HardAtk;AirAtk;NavalAtk;GroundDef;AirDef;CloseDef;Target;Initiativa;GunRange;SpotRange;RangeDefMod;MoveMode;MovMethod;MovPoints;Fuel;Ammo;byteB21;Cost;byteB23,24;byteB25;MonthExpired;MontAvaible;YearAvaible;YearExpired;Organic Transport;Country;Special1;Special2;byteB37;byteB38;bomberCode;Icon;atkMel;movMel;dieMel;byte52;byte53;byte54;byte55;byte56;byte57;byte58;byte59;byte60;byte61;byte62;byte63;byte64;byte65;byte66;byte67;byte68;byte69;byte70;byte71;byte72;byte73
20;Hevonen;7;0;0;0;0;1;1;0;0;0;1;1;1;0;2;4;0;0;0;2;271;0;12;1;35;46;1;6;49;0;0;0;0;PAT16;82;9;1 ;4;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
21;MT;10;2;1;12;1;11;16;0;2;6;1;1;1;1;5;15;0;5;0;90;83;0;6;3;43;46;0;6;1;0;0;0;0;CLU42;94;81;9 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
22;BW;10;2;1;12;1;9;12;0;2;4;1;1;1;1;5;18;0;5;0;65;3;0;12;3;40;42;0;6;1;0;0;0;0;WDC73;18;46;8 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
23;FR;10;1;0;8;1;8;10;0;2;3;1;1;1;1;5;16;0;7;0;52;89;0;7;11;37;41;0;6;1;0;0;0;0;WDA49;23;45;8 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
24;JK;11;12;7;6;5;11;10;0;2;2;1;1;1;1;5;19;0;4;0;83;87;0;4;4;43;45;0;6;65;0;0;0;0;WDA53;95;14;7 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
25;FE;13;0;0;0;0;4;3;0;2;0;1;1;1;1;5;16;0;0;0;25;93;0;6;11;40;45;0;6;65;1;0;0;0;TDZ20;74;14;99 ;0;1;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
26;M16;5;8;2;15;3;7;8;0;1;4;1;2;4;0;1;9;57;6;0;29;249;0;12;6;44;46;1;7;1;128;20;0;0;TDK19;107;5;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
27;25mm mle34;4;2;6;0;3;8;8;0;0;7;1;2;9;0;3;2;0;5;0;6;210;0;12;5;35;42;2;7;1;0;0;0;0;PT209;47;80;13 ;1;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
28;90mm mle40;9;7;5;12;0;1;4;0;0;6;3;2;6;0;4;0;0;8;0;33;241;0;12;7;44;46;1;7;49;0;0;0;0;PT194;80;80;13 ;8;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
29;M10;4;6;15;1;5;10;6;0;1;10;2;2;4;0;0;6;57;7;0;36;236;0;12;3;43;46;1;7;1;0;0;0;0;PT164;51;75;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
30;105mm C mle35;8;10;5;0;2;3;6;0;0;2;4;2;3;0;4;0;0;7;0;19;211;0;8;1;36;40;2;7;1;0;0;0;0;PA800;15;80;13 ;4;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
31;155mm L mle17F;8;16;9;0;4;1;4;0;0;3;5;2;1;0;4;0;0;4;0;63;186;0;12;1;35;46;0;7;1;16;0;0;75;PA772;48;80;13 ;16;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
32;75mm C mle97;8;7;4;0;2;3;7;0;0;2;3;2;3;0;4;1;0;11;0;11;211;0;6;1;36;43;2;7;1;0;0;0;0;PA403;16;80;13 ;2;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
33;M7;8;10;6;2;2;7;6;0;1;2;4;2;3;0;0;5;52;7;0;55;227;0;12;9;43;46;1;7;1;0;31;0;0;PA956;15;5;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
34;Abri;6;4;2;2;4;12;14;4;0;5;1;2;8;0;0;0;0;10;0;38;1;0;12;1;26;54;0;7;1;1;31;0;0;PA700;6;1;6 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
35;Fortification;6;8;4;2;6;12;14;5;0;5;2;2;8;0;0;0;0;10;0;60;2;0;12;1;26;54;0;7;1;17;31;0;0;PA691;6;1;6 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
36;37 Chasseurs a Cheval;1;5;2;0;1;5;4;0;0;2;1;3;6;0;8;5;0;6;0;11;56;0;12;3;37;42;1;7;1;0;0;0;0;ER30;2;2;10 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
37;37 Chasseurs a Pied;1;6;1;0;3;6;6;2;0;2;1;2;8;0;3;4;0;6;0;11;95;0;12;3;37;42;2;7;1;0;0;0;0;JK397;2;72;1 ;32;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
38;37 Sapeurs;1;7;2;0;4;7;6;2;0;2;1;2;8;0;3;2;0;7;0;27;95;0;6;3;37;43;2;7;5;0;0;0;0;JK390;45;72;1 ;128;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
39;37 Infanterie;1;6;2;0;3;5;5;1;0;1;1;2;8;0;3;3;0;6;0;6;95;0;12;1;35;42;2;7;1;0;0;0;0;JK261;2;1;1 ;32;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
40;43 Infanterie;1;7;5;0;3;7;8;1;0;1;1;2;8;0;3;3;0;6;0;8;53;0;12;6;43;54;2;7;1;0;0;0;0;SB99;97;1;1 ;32;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
41;M8;3;5;8;1;3;7;6;1;1;7;1;3;6;0;2;10;81;11;0;32;234;0;12;6;43;46;1;7;1;0;0;0;0;PA959;70;3;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
42;AMD 178;3;4;6;0;3;7;7;2;1;5;1;3;4;0;2;8;50;5;0;29;6;0;6;3;37;43;1;7;1;0;0;0;0;PT111;47;3;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
43;Dunkerque BB;20;12;8;8;17;17;10;0;3;10;6;4;1;0;6;4;0;20;0;177;75;0;11;4;37;42;0;7;65;1;16;0;0;MK27;28;16;5 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
44;Richelieu BB;20;14;10;8;21;18;10;0;3;12;6;4;1;0;6;4;0;20;0;210;75;0;12;7;40;46;0;7;65;1;16;0;0;MK27;28;16;5 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
45;Suffren CA;20;10;7;8;14;9;6;0;3;10;5;4;1;0;6;5;0;20;0;102;78;0;12;1;30;46;0;7;65;1;16;0;0;MK05;29;16;5 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
46;La Galissonniere LC;20;7;4;8;10;10;8;0;3;9;4;4;1;0;6;5;0;20;0;71;77;0;12;1;36;46;0;7;1;129;16;0;0;MK49;29;16;5 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
47;Le Fantasque DD;15;5;3;5;8;7;6;3;3;9;3;3;1;0;6;7;0;20;0;42;11;0;12;2;35;46;0;7;65;1;16;0;0;MK55;8;16;5 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
48;Char B1bis;2;10;8;0;3;11;11;3;1;7;1;1;3;0;0;4;40;9;0;51;4;0;8;3;39;40;1;7;1;0;0;0;0;PT122;36;7;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
49;H39;2;5;6;0;3;8;7;2;1;5;1;1;5;0;0;5;40;14;0;24;9;0;8;5;40;40;1;7;1;0;0;0;0;PT131;73;70;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
50;M5A1;3;6;8;1;3;10;8;2;1;7;1;1;5;0;0;7;41;17;0;38;243;0;12;1;44;46;1;7;1;0;0;0;0;PT165;11;7;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
51;M4A2;2;9;11;1;5;12;9;2;1;9;1;1;3;0;0;5;46;13;0;43;233;0;0;7;43;46;1;7;1;0;0;0;0;PT338;51;7;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
52;M4A1(76)W;2;9;15;1;5;11;9;2;1;10;2;1;3;0;0;5;41;11;0;74;239;0;12;9;44;46;1;7;1;0;0;0;0;PT339;51;7;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
53;R35;2;5;4;0;3;8;7;2;1;3;1;1;5;0;0;4;41;8;0;23;9;0;6;3;35;43;1;7;1;0;0;0;0;PT133;73;70;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
54;R40;2;5;6;0;3;8;7;2;1;4;1;1;5;0;0;4;39;11;0;24;9;0;8;3;40;40;1;7;1;0;0;0;0;PT152;73;70;2 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
55;S35;2;6;8;0;3;10;11;2;1;7;1;1;4;0;0;5;51;16;0;37;5;0;12;3;38;42;1;7;1;0;0;0;0;PT116;70;7;3 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
56;AGR2;7;0;0;0;0;2;2;0;0;1;1;1;2;0;2;7;66;0;0;4;229;0;6;1;35;43;1;7;49;0;0;0;0;TDU39;82;3;1 ;132;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
57;M3A1;7;3;2;3;1;7;5;0;1;3;1;2;3;0;1;8;72;10;0;22;248;0;12;6;43;46;1;7;1;0;0;0;0;TDK12;9;5;2 ;128;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
58;MCG;7;0;0;0;0;6;5;0;1;1;1;1;4;0;1;4;38;0;0;17;8;0;8;12;39;40;1;7;49;0;0;0;0;PA838;12;5;2 ;8;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
59;Attelage;7;0;0;0;0;1;1;0;0;0;1;1;1;0;2;4;0;0;0;1;271;0;6;1;34;43;1;7;49;0;0;0;0;TD65;82;9;10 ;4;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
60;D.520C.1;10;2;1;14;2;9;13;0;2;4;1;1;1;1;5;16;0;7;0;77;15;0;9;1;40;43;0;7;1;0;0;0;0;TDZ34;18;46;8 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
61;MS.406C.1;10;2;1;10;1;8;11;0;2;3;1;1;1;1;5;15;0;5;0;58;14;0;12;1;39;42;0;7;1;0;0;0;0;LHJ09;18;46;8 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
62;Po.633B.2;11;6;3;5;3;8;9;0;2;2;1;1;1;1;5;15;0;4;0;60;16;0;12;3;39;42;0;7;65;0;0;0;0;WDC28;95;14;4 ;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
63;Po.650;13;0;0;0;0;8;6;0;2;1;1;1;1;1;5;15;0;0;0;41;270;0;12;1;38;42;0;7;65;1;0;0;0;PA678;74;14;99 ;0;1;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0
64;2 Flak38;5;5;3;7;3;3;6;1;0;5;1;2;8;0;3;2;0;32;0;5;139;0;12;7;40;54;2;8;1;128;20;0;0;ZYA21;71;80;13 ;1;1;0;0;0;0;0;0;8;1;255;23;0;0;48;68;6;0;0;0;0;0
65;2 Flakvierling38;5;10;4;14;3;3;6;1;0;5;1;2;6;0;4;1;0;8;0;9;34;0;12;7;40;54;2;8;1;128;20;0;0;ZYA17;99;80;13 ;4;1;0;0;0;0;0;0;8;1;255;7;0;0;48;68;2;0;0;0;0;0
66;3.7 PaK36;4;4;7;0;1;8;8;0;0;7;1;2;9;0;3;2;0;24;0;6;32;0;6;7;36;44;2;8;1;24;0;0;0;PA186;73;80;13 ;16;130;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
67;3.7 FlaK36;9;6;5;9;1;2;6;0;0;4;2;2;9;0;4;1;0;24;0;11;324;0;11;9;38;48;2;8;49;0;16;0;0;PT181;46;80;13 ;32;66;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
68;3.7cm FlaK Möbelwagen;9;6;5;10;1;9;10;0;1;6;2;2;4;0;0;5;45;10;0;43;54;0;11;5;44;48;1;8;49;0;16;0;0;PA310;80;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
69;8.8 FlaK18;9;5;5;12;1;2;6;0;0;11;3;2;6;0;4;0;0;10;0;29;40;0;12;1;35;40;1;8;49;0;16;0;0;PA939;79;80;13 ;32;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
70;FlaKPz V Coelian;9;7;5;13;1;14;12;2;1;8;2;1;4;0;0;6;45;12;0;54;70;0;11;3;45;48;1;8;49;0;16;0;0;PA382;80;77;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
71;FlaKPz 38(t);9;3;2;7;1;7;8;0;1;6;1;2;4;0;0;5;46;22;0;18;62;0;2;1;44;45;1;8;1;0;16;0;0;PA347;71;5;2 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
72;FlakPz IV Ostwind;9;6;5;10;1;9;11;0;1;6;2;2;3;0;0;5;45;23;0;44;54;0;3;9;44;46;1;8;49;0;16;0;0;PA303;80;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
73;SdKfz 7/1;9;6;4;14;1;4;9;0;0;4;1;2;4;0;1;7;45;8;0;24;75;0;0;10;41;43;1;8;1;0;16;0;0;PA166;263;5;2 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
74;SdKfz 6/2;9;6;6;9;1;4;9;0;0;4;2;2;4;0;1;7;40;8;0;36;74;0;12;7;39;44;1;8;49;0;16;0;0;PA315;46;5;2 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
75;SdKfz 10/4;9;2;3;7;1;4;8;0;0;5;1;2;4;0;1;7;40;30;0;17;72;0;12;7;39;42;2;8;1;0;16;0;0;PA363;71;5;2 ;0;66;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
76;FlaKPz IV Wirbelwind;9;8;4;14;1;7;11;0;1;6;1;2;3;0;0;5;45;8;0;27;55;0;3;9;44;45;1;8;49;0;16;0;0;PA306;263;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
77;5 PaK38;4;6;12;0;1;8;8;0;0;10;1;2;9;0;3;2;0;9;0;10;32;0;5;10;40;44;2;8;1;16;0;0;0;PT298;73;80;13 ;32;130;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
78;7.5 PaK40;4;9;15;0;1;8;8;0;0;11;2;2;9;0;4;1;0;8;0;15;251;0;11;11;41;48;2;8;1;16;0;0;0;PT295;91;80;13 ;64;66;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
79;8.8 FlaK36;4;11;18;8;2;6;8;0;0;12;2;2;7;0;4;0;0;10;0;39;39;0;11;6;36;48;1;8;1;144;0;0;0;PA180;79;80;13 ;64;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
80;8.8 PaK41/43;4;11;23;0;2;8;8;0;0;13;2;2;8;0;4;0;0;8;0;25;36;0;11;6;44;48;1;8;1;16;0;0;0;PT304;84;80;13 ;64;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
81;Ferdinand;4;8;23;0;1;18;10;1;1;13;2;1;8;0;0;3;22;7;0;79;23;0;1;6;43;44;1;8;1;0;0;0;0;PA182;326;77;3 ;0;4;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
82;Hetzer;4;11;15;0;1;14;8;1;1;11;2;1;5;0;0;5;43;6;0;36;52;0;11;6;44;48;1;8;1;0;0;0;0;PA881;91;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
83;Jagdpanther;4;13;23;0;1;18;11;2;1;14;2;1;9;0;0;6;37;8;0;80;47;0;11;3;44;48;1;8;1;0;0;0;0;PA141;326;77;3 ;0;4;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
84;JgdPz IV/48;4;11;15;0;1;13;9;1;1;11;2;1;5;0;0;5;46;11;0;39;56;0;11;3;44;45;1;8;1;0;0;0;0;PA875;51;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
85;JgdPz IV/70A;4;11;20;0;1;15;9;1;1;12;2;1;5;0;0;5;46;8;0;42;56;0;11;10;44;48;1;8;1;0;0;0;0;PA447;51;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
86;Jagdtiger;4;18;28;0;1;21;12;2;1;13;2;1;9;0;0;4;23;5;0;83;51;0;11;10;44;48;1;8;1;0;0;0;0;PA895;326;77;3 ;0;4;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
87;Marder IIIH;4;9;15;0;1;7;6;0;1;11;2;2;4;0;0;4;44;6;0;29;26;0;4;1;43;44;1;8;1;0;0;0;0;PA184;36;7;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
88;Nashorn;4;11;23;0;1;6;6;0;1;13;2;2;3;0;0;5;47;5;0;40;25;0;12;4;43;45;1;8;1;0;0;0;0;PA855;36;7;2 ;0;4;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
89;JgdPz I;4;5;8;0;1;6;6;0;1;9;1;2;4;0;0;5;39;12;0;14;31;0;2;5;40;42;2;8;1;0;0;0;0;PA922;47;70;2 ;0;66;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
90;StuG IIIF;4;11;14;1;1;11;8;1;1;11;2;1;5;0;0;5;39;7;0;37;45;0;9;5;42;43;1;8;1;0;0;0;0;PA858;53;62;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
91;StuG IIIG;4;11;15;1;1;12;9;1;1;11;2;1;5;0;0;5;40;8;0;38;67;0;11;2;43;48;1;8;1;0;0;0;0;PA193;53;62;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
92;10.5 leFH18;8;8;4;0;2;3;5;0;0;2;5;2;3;0;4;0;0;7;0;19;60;0;11;6;35;48;1;8;1;0;16;0;145;PA798;15;80;13 ;16;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
93;15 sFH18;8;11;6;0;2;1;3;0;0;2;5;2;1;0;4;0;0;5;0;42;38;0;11;6;33;48;1;8;1;0;16;0;195;PAT45;48;80;13 ;72;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
94;17 K18;8;15;8;0;4;1;3;0;0;4;9;2;1;0;4;0;0;6;0;96;38;0;11;6;41;48;0;8;1;16;16;0;240;DJ009;65;80;13 ;8;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
95;7.5 leFK18;8;5;3;0;2;2;6;0;0;2;4;2;3;0;4;1;0;11;0;11;60;0;3;8;38;41;2;8;1;8;16;0;110;PA869;16;80;13 ;16;130;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
96;Grille Ausf. M;8;10;5;1;1;9;5;0;1;4;2;2;3;0;0;4;38;4;0;33;61;0;11;9;44;48;1;8;1;0;16;0;120;PA159;84;5;3 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
97;SdKfz 165 Hummel;8;11;6;0;1;7;5;0;1;5;5;2;3;0;0;5;47;5;0;66;24;0;11;7;43;48;1;8;1;0;16;0;150;PA856;48;77;2 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
98;15 NbWf41;8;8;4;0;1;2;7;0;0;1;3;2;2;0;4;1;0;4;0;31;64;0;11;2;41;48;2;8;5;0;16;0;145;PAT48;85;80;13 ;32;130;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
99;Wurfrahmen;8;19;9;1;3;7;5;0;1;2;2;2;3;0;1;6;55;4;0;50;20;0;11;10;42;48;1;8;5;0;16;0;180;PA163;337;5;2 ;0;2;0;0;0;0;0;0;8;1;2;0;0;0;2;0;0;0;0;0;0;0
100;3.7inch;9;6;5;12;0;1;4;0;0;6;3;2;6;0;4;0;0;8;0;32;172;0;12;1;38;46;1;23;49;0;0;0;0;PA712;76;80;13 ;8;0;0;0;0;0;0;0;23;1;7;112;26;0;3;1;0;0;0;0;0;0
